nomBénéficiaire,idBeneficiaire,montant,objet,datesPériodeVersement,montant_reuse,nature,datepublication,dateConvention,nomAttribuant,idAttribuant
2A2D,80952642900026.0,38250,AAP SOLIDARITE EAU,2024-12-20/2025-06-20,Entre 30 000€ et 100 000€,aide en numéraire,45673,45646,BORDEAUX METROPOLE,24330031600011.0
A.D.E.L.E,43383539400027.0,25000,Fonctionnement,2020-12-07/2021-06-07,Inférieur à 30 000€,aide en numéraire,44518,44172,BORDEAUX METROPOLE,24330031600011.0
A.DE.L.E PLIE des Graves,43383539400027.0,19642,Subvention de fonctionnement,2022-07-19/2023-01-19,Inférieur à 30 000€,aide en numéraire,44805,44761,BORDEAUX METROPOLE,24330031600011.0
A.DE.LE,43383539400027.0,25000,Subvention de Fonctionnement,2022-11-07/2023-05-07,Inférieur à 30 000€,aide en numéraire,44897,44872,BORDEAUX METROPOLE,24330031600011.0
A.DE.LE,43383539400027.0,25000,Convention d'objectifs et financière,2023-12-14/2024-06-14,Inférieur à 30 000€,aide en numéraire,45324,45274,BORDEAUX METROPOLE,24330031600011.0
ACADEMIE MANO,91197593600012.0,200000,Aide à l'investissement,2025-01-08/2025-07-08,Entre 100 000€ et 500 000€,Aide en numéraire,45751,45665,BORDEAUX METROPOLE,24330031600011.0
Action-Solidarité,83355139300022.0,22624,Solidarité Internationale Eau et Assainissement,2023-01-27/2023-07-27,Inférieur à 30 000€,aide en numéraire,45014,44953,BORDEAUX METROPOLE,24330031600011.0
ACTIONS INTER MEDIATION,42440458000070.0,9000,AAP CONTRAT DE VILLE,2025-08-12 / 2026-02-12,Inférieur à 30 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
ACTIONS INTER MEDIATION,42440458000070.0,20000,AAP CLS 2025,2025-08-12 / 2026-02-12,Inférieur à 30 000€,Aide en numéraire,46036,45881,BORDEAUX METROPOLE,24330031600011.0
ACTIONS INTER MEDIATION,42440458000070.0,40000,AAP CONTRAT LOCAL DES SOLIDARITES,2024-12-23/2025-06-23,Entre 30 000€ et 100 000€,Aide en numéraire,45751,45649,BORDEAUX METROPOLE,24330031600011.0
Activ'Action,81237938600012.0,20000,AAP Emploi et Quartiers,2023-12-19/2024-06-19,Inférieur à 30 000€,aide en numéraire,45324,45279,BORDEAUX METROPOLE,24330031600011.0
ADAV,30091783800025.0,87400,Subvention de fonctionnement,2022-05-25/2022-11-25,Entre 30 000€ et 100 000€,aide en numéraire,44805,44706,BORDEAUX METROPOLE,24330031600011.0
