id,nom,structure_porteuse,type_lieu,nature_juridique,statut,adresse_commune,tarifs,gratuit ou pas,description,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_departement,adresse_region,adresse_complément,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_complement,contact_telephone_details,contact_telephone_complement_detail,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,accessibilite,services,niveau_service,labels,geo_point
8,Emmaüs Connect,,Association,Association,Privé,Bordeaux,"Gratuit,Adhérent",avec condition,Nous mettons en place des activités dédiées à accompagner les personnes en difficulté numérique dans leur parcours. Nous les aidons à accéder à une offre solidaire pour s’équiper et se connecter tout en leur fournissant des outils pédagogiques pour appréhender seules ou accompagnées les services numériques essentiels à leur insertion sociale et professionnelle.,79200000000000,38 cours des Aubiers,38,Cours des Aubiers,33300,33063,Gironde,Nouvelle Aquitaine,,44.8729813595829,-0.57225924758073,,Non,646803329,,Mardi au Jeudi : 10h-13h/14h-17h45. Vendredi 10h-13h/14h-16h45.,,csbordeaux@emmaus-connect.org,https://emmaus-connect.org/bordeaux/,,Mardi au Jeudi : 10h-13h/14h-17h45. Vendredi 10h-13h/14h-16h45.,"Tu-Th 10:00-13:00,14:00-17:45; Fr 10:00-13:00,14:00-16:45",Tout public,Sur inscription ou rendez-vous,Collectif,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Maîtrise,DIFFCV/Maîtrise,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Maîtrise,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Basique",,"44.8729813596, -0.572259247581"
9,L'Atelier de No Working Bordeaux Bacalan,,Autre / Inconnu,Société par Actions Simplifiée (SAS),Privé,Bordeaux,Payant,avec condition,"L'atelier de No Working est un espace d'activités, d'échange et de partage à destination des seniors.",,19 rue Achard,19,Rue Achard,33300,33063,Gironde,Nouvelle Aquitaine,,44.8655620407963,-0.549216592052866,,Non,556376895,,Du Lundi au Vendredi : 9h12h30/13h30-18h.,,contact@atelierdenoworking.fr,https://atelierdenoworking.fr/,https://www.facebook.com/atelierdenoworking,Du Lundi au Vendredi : 9h12h30/13h30-18h.,"Mo-Fr 09:00-12:30,13:30-18:00",Séniors,Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Basique,ORDI/Non,INTERNET/Basique,MAILS/Basique,CV/Non,DIFFCV/Non,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Non,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Basique,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8655620408, -0.549216592053"
10,Pôle Emploi Gironde - Bordeaux Nord,Pôle Emploi,Pôle Emploi,Autre,Public,Bordeaux,Gratuit,gratuit sans restrictions,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",,5 place Ravezies,5,Place Ravezies,33000,33063,Gironde,Nouvelle Aquitaine,Immeuble le 5,44.8373274551188,-0.572872104001035,,Non,3949,,Réception sans rendez-vous  les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,,Non communiqué,https://www.pole-emploi.fr,,Réception sans rendez-vous  les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Mo-Fr 08:30-12:30,Demandeurs d'emploi,Sur inscription ou rendez-vous,"Individuel,Collectif",,Accès à un équipement informatique,"TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Non,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Expert,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8373274551, -0.572872104001"
12,Chantecler Bordeaux,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Aujourd’hui c’est 61 activités proposées pour 3600 pratiquants. Cette belle aventure doit sa réussite aux bénévoles, aux salariés et aux adhérents qui se sont succédés au cours de ces 92 années passées. Nous serons donc très prochainement CENTENAIRE… Nous nous sommes attachés à préserver les valeurs qui ont initié CHANTECLER : accueil pour tous, solidarité et esprit d’équipe.",,impasse Ste Elisabeth,,Impasse Sainte Elisabeth,33000,33063,Gironde,Nouvelle Aquitaine,,44.8541256031603,-0.57673879988569,,Non,557870257,556089855,"Lundi, Mardi, Mercredi, Vendredi : 9h-12h30/13h30-18h.",,,http://www.maisondequartierchantecler.fr/,https://www.facebook.com/chantecler.asso.7,"Lundi, Mardi, Mercredi, Vendredi : 9h-12h30/13h30-18h.","Mo-Fr 09:00-12:30,13:30-18:00; Th off",Tout public,Sur inscription ou rendez-vous,Individuel,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Non,EMPLOISTORE/Basique,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Basique,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8541256032, -0.576738799886"
14,Foyer Fraternel Centre Social,,Centre social,Association,Privé,Bordeaux,Gratuit,gratuit sans restrictions,"Le Foyer Fraternel est à la fois un centre social & un organisme de formation. Il répond aux besoins éducatifs et de loisirs, aux besoins d’insertion sociale et de solidarité, aux besoins de formation et d’insertion professionnelle. L’association propose notamment des cours de Français (Alpha, FLE) et des ateliers pour le numérique. Elle compte 800 adhérents et 2500 usagers dans les quartiers Chartrons, Grand Parc, Jardin Public.",,23 rue Gouffrand,23,Rue Gouffrand,33300,33063,Gironde,Nouvelle Aquitaine,,44.8558462446764,-0.572110842345362,,Non,557871392,,Lundi au Vendredi : 9h-18h.,,accueil@foyerfraternel.fr,http://www.centresocial-foyerfraternel.fr/,https://www.facebook.com/foyerfraternelbordeaux/,Lundi au Vendredi : 9h-18h.,Mo-Fr 09:00-18:00,"Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Séniors",Sur inscription ou rendez-vous,"Individuel,Collectif",Handicap moteur,Accès à un équipement informatique,"TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Expert,DIFFCV/Expert,ORGRECHEMPLOI/Expert,EMPLOISTORE/Expert,DECLAPE/Expert,IMPOTS/Non,DROITSSOCIAUXRSACAF/Expert,RETRAITE/Non,CPAM/Expert,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Non,CODE/Non,MOOC/Non",Autre dispositif,"44.8558462447, -0.572110842345"
17,Bibliothèque Mériadeck,Mairie de Bordeaux,Bibliothèque / Médiathèque,Collectivité locale ou territoriale,Public,Bordeaux,"Gratuit,Adhérent",avec condition,"La bibliothèque Mériadeck est la plus grande bibliothèque du réseau bordelais. C'est également l'une des plus grandes bibliothèques municipales de France, avec ses 8 000 m² ouverts au public ! L'offre de documents est vaste : le bâtiment abrite plus d'un million de documents dans des dizaines de kilomètres de rayonnages, soit en accès tout à fait simple et facile, dans les salles, pour l'emprunt à domicile ou la lecture sur place, soit en magasins.",21300000000000,85 cours du Maréchal Juin,85,Cours Maréchal Juin,33000,33063,Gironde,Nouvelle Aquitaine,,44.8351168280552,-0.586759237213544,,Non,556103000,,"Lundi et Jeudi : 13h à 19h / Mardi Mercredi et Vendredi : 10h-19h, Samedi : 10h-18h (espace Patrimoine 13h-18h), Dimanche : 14h-18h d'octobre à avril.",,dgac.lectpub@mairie-bordeaux.fr,http://bibliotheque.bordeaux.fr,https://www.facebook.com/bibliotheques.bordeaux/,"Lundi et Jeudi : 13h à 19h / Mardi Mercredi et Vendredi : 10h-19h, Samedi : 10h-18h (espace Patrimoine 13h-18h), Dimanche : 14h-18h d'octobre à avril.","Mo,Th 13:00-19:00; Tu,We,Fr 10:00-19:00; Sa 10:00-18:00; Oct-Apr Su 14:00-18:00",Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",Handicap moteur,Accès à un équipement informatique,"TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Basique,DIFFCV/Basique,ORGRECHEMPLOI/Basique,EMPLOISTORE/Basique,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Basique,PHOTO/Maîtrise,IMPTROISD/Non,PAO/Maîtrise,SITEWEB/Basique,CODE/Non,MOOC/Maîtrise",,"44.8351168281, -0.586759237214"
21,CRIJ Nouvelle Aquitaine,,Association,Association,Privé,Bordeaux,Gratuit,gratuit sans restrictions,"L'information Jeunesse vise à informer tous les Jeunes sur tous les sujets en lien avec leurs démarches d'accès à l'autonomie. Le CRIJ Nouvelle Aquitaine est la tête de réseau régionale des 170 structures IJ du territoire et gère l'accueil des Jeunes sur ses trois sites de Bordeaux, Limoges et Poitiers.",,125 Cours Alsace Lorraine,125,Cours d'Alsace Et Lorraine,33000,33063,Gironde,Nouvelle Aquitaine,,44.8374899117795,-0.575839282860387,,Non,556560056,,Lundi 13h30-17h Mardi à Jeudi 10h-12h et 13h30-17h Vendredi 10h-12h et 13h30-16h30.,,bordeaux@crijna.fr,http://www.jeuneabordeaux.fr/,https://www.facebook.com/InfoJeunes.NA.Bordeaux.Europedirect/,Lundi 13h30-17h Mardi à Jeudi 10h-12h et 13h30-17h Vendredi 10h-12h et 13h30-16h30.,"Mo 13:30-17:00; Tu-Th 10:00-12:00,13:30-17:00; Fr 10:00-12:00,13:30-16:30",Jeunes,Sur inscription ou rendez-vous,"Individuel,Collectif",Handicap moteur,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Maîtrise,ORDI/Maîtrise,INTERNET/Expert,MAILS/Expert,CV/Expert,DIFFCV/Maîtrise,ORGRECHEMPLOI/Expert,EMPLOISTORE/Maîtrise,DECLAPE/Maîtrise,IMPOTS/Maîtrise,DROITSSOCIAUXRSACAF/Maîtrise,RETRAITE/Basique,CPAM/Maîtrise,FACTURES/Maîtrise,ETATCIVIL/Maîtrise,PERMIS/Basique,PHOTO/Basique,IMPTROISD/Non,PAO/Basique,SITEWEB/Non,CODE/Non,MOOC/Maîtrise",APTIC,"44.8374899118, -0.57583928286"
24,Le Nom Lieu,,Tiers-lieu / Coworking / FabLab / Hackerspace,Association,Privé,Bordeaux,"Gratuit,Adhérent",avec condition,Le Nom Lieu est une association de l'ESS qui accompagne les Jeunes de 16 à 25 ans en situation de fragilité psychique et/ou d'exclusion sociale à partir de leurs affinités dans les domaines du numérique vers leur insertion sociale et professionnelle.,,Le Node 12 rue des faussets,12,Rue des Faussets,33000,33063,Gironde,Nouvelle Aquitaine,Le Node,44.840415176588,-0.570517578425619,,Non,625049296,,"Mercredi : 9h-17h, Samedi : 10h-13h.",,lenomlieu@gmail.com,https://lenomlieu.wordpress.com/accueil/,https://lenomlieu.org/accueil/?share=facebook&nb=1,"Mercredi : 9h-17h, Samedi : 10h-13h.",We 09:00-17:00; Sa 10:00-13:00,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap",Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Expert,ORDI/Expert,INTERNET/Expert,MAILS/Expert,CV/Maîtrise,DIFFCV/Maîtrise,ORGRECHEMPLOI/Maîtrise,EMPLOISTORE/Non,DECLAPE/Non,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Expert,IMPTROISD/Maîtrise,PAO/Expert,SITEWEB/Expert,CODE/Expert,MOOC/Expert",,"44.8404151766, -0.570517578426"
25,Oxygène,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Nos missions s’inscrivent dans le champ de l’insertion sociale et dans la lutte contre les exclusions et l’isolement en amenant notre public, au travers de nos actions, à retisser du lien social, à retrouver confiance et estime de soi. Il s’agit de lever progressivement les freins et les obstacles à l’émergence de projets.",,27-29 quai Richelieu,27,Quai Richelieu,33000,33063,Gironde,Nouvelle Aquitaine,,44.8386536722948,-0.568043900826017,,Non,556969663,,Permanences tous les Mercredi après-midi.,,oxygene.asso@wanadoo.fr,http://oxygene-asso.fr/,,Permanences tous les Mercredi après-midi.,We 13:30-18:00,Tout public,Sur inscription ou rendez-vous,"Individuel,Collectif",,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Basique,ORDI/Maîtrise,INTERNET/Maîtrise,MAILS/Maîtrise,CV/Maîtrise,DIFFCV/Basique,ORGRECHEMPLOI/Basique,EMPLOISTORE/Non,DECLAPE/Basique,IMPOTS/Basique,DROITSSOCIAUXRSACAF/Basique,RETRAITE/Basique,CPAM/Basique,FACTURES/Basique,ETATCIVIL/Basique,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Basique,SITEWEB/Non,CODE/Non,MOOC/Non",,"44.8386536723, -0.568043900826"
26,Philomathique de Bordeaux,,Association,Association,Privé,Bordeaux,Payant,avec condition,"Centre de formation professionnelle depuis 1808 à Bordeaux, spécialisé historiquement dans les métiers d'arts et d'artisanat et qui propose depuis 2015 des formations en lien avec le numérique, et notamment le web et ses usages. Les formations sont à la fois à destination de publics demandeurs d'emplois, particuliers ou en reconversion professionnelle. Ces actions sont diplômantes ou certifiantes. De plus des actions d'intérêt général sont ouvertes à destination des associations du territoire à travers l'action ""A l'Asso du Web"".",,66 rue Abbé de l'Epée,66,Rue Abbé de l'Epée,33000,33063,Gironde,Nouvelle Aquitaine,,44.8421776416482,-0.582816427120468,,Non,556522326,,Lundi au Vendredi : 8h30-18 h.,,communication@philomathiquebordeaux.com,https://www.philomathiquebordeaux.com/,,Lundi au Vendredi : 8h30-18 h.,Mo-Fr 08:30-18:00,Demandeurs d'emploi,Sur inscription ou rendez-vous,Collectif,,"Accès à un équipement informatique,Le public peut amener son propre matériel","TABLETTE/Non,ORDI/Non,INTERNET/Non,MAILS/Non,CV/Non,DIFFCV/Non,ORGRECHEMPLOI/Non,EMPLOISTORE/Non,DECLAPE/Non,IMPOTS/Non,DROITSSOCIAUXRSACAF/Non,RETRAITE/Non,CPAM/Non,FACTURES/Non,ETATCIVIL/Non,PERMIS/Non,PHOTO/Non,IMPTROISD/Non,PAO/Non,SITEWEB/Expert,CODE/Expert,MOOC/Non",,"44.8421776416, -0.58281642712"
