Type,Service/Compétence,Nombre de lieux,Pourcentage
Service Physique,Accès à un équipement informatique,125,100%
Service Physique,Le public peut amener son propre matériel,87,70%
Compétence/Démarche,MAILS,115,92%
Compétence/Démarche,INTERNET,114,91%
Compétence/Démarche,ORDI,107,86%
Compétence/Démarche,TABLETTE,102,82%
Compétence/Démarche,CV,97,78%
Compétence/Démarche,DECLAPE,97,78%
Compétence/Démarche,DROITSSOCIAUXRSACAF,96,77%
Compétence/Démarche,DIFFCV,94,75%
Compétence/Démarche,CPAM,88,70%
Compétence/Démarche,IMPOTS,83,66%
Compétence/Démarche,FACTURES,83,66%
Compétence/Démarche,ETATCIVIL,82,66%
Compétence/Démarche,ORGRECHEMPLOI,81,65%
Compétence/Démarche,PERMIS,76,61%
Compétence/Démarche,PHOTO,76,61%
Compétence/Démarche,RETRAITE,75,60%
Compétence/Démarche,PAO,71,57%
Compétence/Démarche,MOOC,68,54%
Compétence/Démarche,EMPLOISTORE,64,51%
Compétence/Démarche,SITEWEB,44,35%
Compétence/Démarche,CODE,33,26%
Compétence/Démarche,IMPTROISD,17,14%
